Camera_ID,Timestamp,Camera_Status,Source_FPS,Processing_FPS,Frames_Processed,Total_Frames,Resolution,Inference_Latency_MS,AI_Health
CAM-001,2026-09-12 18:44:51,ONLINE,29.97,3160.06,219,219,768x432,0.32,HEALTHY
CAM-001,2026-09-12 19:21:42,ONLINE,29.97,3541.06,219,219,768x432,0.28,HEALTHY
