Video_Time,Vehicle_Count,Cars,Motorcycles,Buses,Trucks,Bicycles,Congestion_Level
00:04.67,6,4,1,1,0,0,MEDIUM
00:04.70,6,4,1,1,0,0,MEDIUM
00:04.74,6,4,1,1,0,0,MEDIUM
00:04.77,6,4,1,1,0,0,MEDIUM
00:04.80,6,4,1,1,0,0,MEDIUM
00:04.84,6,4,1,1,0,0,MEDIUM
00:04.87,6,4,1,1,0,0,MEDIUM
00:04.90,6,4,1,1,0,0,MEDIUM
00:04.94,6,4,1,1,0,0,MEDIUM
00:04.97,6,4,1,1,0,0,MEDIUM
00:05.00,6,4,1,1,0,0,MEDIUM
00:05.04,6,4,1,1,0,0,MEDIUM
00:05.07,6,4,1,1,0,0,MEDIUM
00:05.11,6,4,1,1,0,0,MEDIUM
00:05.14,6,4,1,1,0,0,MEDIUM
00:05.17,6,4,1,1,0,0,MEDIUM
00:05.21,6,4,1,1,0,0,MEDIUM
00:05.24,6,4,1,1,0,0,MEDIUM
00:05.27,6,4,1,1,0,0,MEDIUM
00:05.31,6,4,1,1,0,0,MEDIUM
00:05.34,6,4,1,1,0,0,MEDIUM
00:05.37,6,4,1,1,0,0,MEDIUM
00:05.41,6,4,1,1,0,0,MEDIUM
00:05.44,7,5,1,1,0,0,MEDIUM
00:05.47,7,5,1,1,0,0,MEDIUM
00:05.51,7,5,1,1,0,0,MEDIUM
00:05.54,7,5,1,1,0,0,MEDIUM
00:05.57,7,5,1,1,0,0,MEDIUM
00:05.61,7,5,1,1,0,0,MEDIUM
00:05.64,7,5,1,1,0,0,MEDIUM
00:05.67,7,5,1,1,0,0,MEDIUM
00:05.71,7,5,1,1,0,0,MEDIUM
00:05.74,7,5,1,1,0,0,MEDIUM
00:05.77,7,5,1,1,0,0,MEDIUM
00:05.81,7,5,1,1,0,0,MEDIUM
00:05.84,7,5,1,1,0,0,MEDIUM
00:05.87,7,5,1,1,0,0,MEDIUM
00:05.91,7,5,1,1,0,0,MEDIUM
00:05.94,7,5,1,1,0,0,MEDIUM
00:05.97,7,4,2,1,0,0,MEDIUM
00:06.01,5,3,1,1,0,0,LOW
00:06.04,5,3,1,1,0,0,LOW
00:06.07,5,3,1,1,0,0,LOW
00:06.11,5,3,1,1,0,0,LOW
00:06.14,5,3,1,1,0,0,LOW
00:06.17,5,3,1,1,0,0,LOW
00:06.21,5,3,1,1,0,0,LOW
00:06.24,5,3,1,1,0,0,LOW
00:06.27,5,3,1,1,0,0,LOW
00:06.31,3,2,0,1,0,0,LOW
00:06.34,5,3,1,1,0,0,LOW
00:06.37,4,2,1,1,0,0,LOW
00:06.41,3,2,0,1,0,0,LOW
00:06.44,3,2,0,1,0,0,LOW
00:06.47,3,2,0,1,0,0,LOW
00:06.51,2,1,0,1,0,0,LOW
00:06.54,2,1,0,1,0,0,LOW
00:06.57,2,1,0,1,0,0,LOW
00:06.61,3,2,0,1,0,0,LOW
00:06.64,3,2,0,1,0,0,LOW
00:06.67,4,2,1,1,0,0,LOW
00:06.71,4,2,1,1,0,0,LOW
00:06.74,4,2,1,1,0,0,LOW
00:06.77,4,2,1,1,0,0,LOW
00:06.81,4,2,1,1,0,0,LOW
00:06.84,4,2,1,1,0,0,LOW
00:06.87,4,2,1,1,0,0,LOW
00:06.91,4,2,1,1,0,0,LOW
00:06.94,4,2,1,1,0,0,LOW
00:06.97,4,2,1,1,0,0,LOW
00:07.01,4,2,1,1,0,0,LOW
00:07.04,4,2,1,1,0,0,LOW
00:07.07,4,2,1,1,0,0,LOW
00:07.11,4,2,1,1,0,0,LOW
00:07.14,5,3,1,1,0,0,LOW
00:07.17,5,3,1,1,0,0,LOW
00:07.21,5,3,1,1,0,0,LOW
00:07.24,5,3,1,1,0,0,LOW
00:07.27,5,3,1,1,0,0,LOW
00:07.31,5,3,1,1,0,0,LOW
00:00.03,4,3,0,1,0,0,LOW
00:00.07,4,3,0,1,0,0,LOW
00:00.10,4,3,0,1,0,0,LOW
00:00.13,4,3,0,1,0,0,LOW
00:00.17,4,3,0,1,0,0,LOW
00:00.20,4,3,0,1,0,0,LOW
00:00.23,4,3,0,1,0,0,LOW
00:00.27,4,3,0,1,0,0,LOW
00:00.30,4,3,0,1,0,0,LOW
00:00.33,4,3,0,1,0,0,LOW
00:00.37,5,4,0,1,0,0,LOW
00:00.40,5,4,0,1,0,0,LOW
00:00.43,5,4,0,1,0,0,LOW
00:00.47,5,4,0,1,0,0,LOW
00:00.50,5,4,0,1,0,0,LOW
00:00.53,5,4,0,1,0,0,LOW
00:00.57,5,4,0,1,0,0,LOW
00:00.60,5,4,0,1,0,0,LOW
00:00.63,5,4,0,1,0,0,LOW
00:00.67,5,4,0,1,0,0,LOW
